Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,TwinSpires,175,-215,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Unibet,175,-215,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,SugarHouse,175,-215,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,BetRivers,175,-215,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,WynnBET,182,-222,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Intertops,180,-220,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,FOX Bet,155,-213,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,Circa Sports,161,-200,Minnesota Timberwolves,Portland Trail Blazers
Minnesota Timberwolves_Portland Trail Blazers,2022-12-11T03:10:00.000Z,Pending,SuperBook,180,-210,Minnesota Timberwolves,Portland Trail Blazers
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,FanDuel,-142,120,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,DraftKings,-135,115,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,BetRivers,-132,108,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,SugarHouse,-132,108,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,Barstool Sportsbook,-132,108,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,Unibet,-132,108,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,TwinSpires,-132,108,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,PointsBet (US),-140,110,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans_Phoenix Suns,2022-12-11T20:40:00.000Z,Pending,BetMGM,-140,115,New Orleans Pelicans,Phoenix Suns
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,Bovada,180,-220,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,GTbets,185,-220,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,DraftKings,185,-215,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,FanDuel,188,-225,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,William Hill (US),178,-215,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,BetUS,175,-210,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,BetMGM,170,-210,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,MyBookie.ag,168,-208,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,PointsBet (US),180,-220,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,SuperBook,180,-210,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,BetRivers,185,-230,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,SugarHouse,185,-230,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,Barstool Sportsbook,185,-230,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,Unibet,185,-230,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,TwinSpires,185,-230,Detroit Pistons,Los Angeles Lakers
Detroit Pistons_Los Angeles Lakers,2022-12-11T23:10:00.000Z,Pending,Betfair,174,-200,Detroit Pistons,Los Angeles Lakers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,GTbets,390,-540,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,DraftKings,400,-500,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,FanDuel,440,-590,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,William Hill (US),400,-550,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,BetMGM,360,-500,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,BetUS,385,-500,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,MyBookie.ag,382,-526,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,PointsBet (US),410,-475,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,SuperBook,400,-500,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,Bovada,360,-500,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,BetRivers,425,-590,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,Barstool Sportsbook,425,-590,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,Unibet,425,-590,Charlotte Hornets,Philadelphia 76ers
Charlotte Hornets_Philadelphia 76ers,2022-12-11T23:10:00.000Z,Pending,TwinSpires,425,-590,Charlotte Hornets,Philadelphia 76ers
